,user,state,action,follow_up_state,Recency,Frequency,Monetary
0,FVNIW,50,mail,50,1,3,2
1,FVNIW,50,mail,50,20,9,7
2,DJFVD,50,mail,100,1,16,7
3,DJFVD,50,mail,130,20,3,2
4,FVNIW,50,mail,130,1,16,7
5,FVEVB,50,mail,150,20,16,7
6,FVKEW,100,mail,100,1,9,2
7,FVKEW,100,mail,100,20,9,2
8,DJFVD,100,mail,100,1,16,7
9,DJFVD,100,mail,130,1,9,7
10,FVEVB,100,mail,130,9,3,5
11,FVEVB,100,mail,150,9,3,5
12,DJFVD,130,mail,50,9,9,2
13,FVEVB,130,mail,50,9,9,7
14,FVNIW,130,mail,100,1,3,7
15,DJFVD,130,mail,130,1,3,7
16,FVEVB,130,mail,130,1,16,5
17,DNCIG,130,mail,150,1,9,2
18,DJFVD,150,mail,50,20,9,5
19,DJFVD,150,mail,100,1,16,5
20,FVNIW,150,mail,100,9,9,2
21,DJFVD,150,mail,130,20,9,7
22,DNCIG,150,mail,130,1,3,7
23,DNCIG,150,mail,130,20,9,7
24,FVEVB,170,mail,200,9,16,7
25,FVKEW,170,mail,200,20,3,7
26,FVKEW,170,mail,170,1,3,2
27,DNCIG,170,mail,170,9,16,2
28,DJFVD,170,mail,170,1,9,7
29,DNCIG,170,mail,170,20,9,7
30,FVKEW,200,mail,200,9,16,7
31,FVEVB,200,mail,200,1,9,2
32,FVNIW,200,mail,200,1,9,5
33,DJFVD,200,mail,200,1,3,7
34,FVEVB,200,mail,200,9,3,7
35,DJFVD,200,mail,200,1,16,7
36,FVKEW,50,call,100,9,3,2
37,DNCIG,50,call,100,20,3,2
38,FVEVB,50,call,100,9,9,5
39,FVKEW,50,call,100,1,9,5
40,DNCIG,50,call,100,9,3,7
41,FVEVB,50,call,130,20,9,5
42,FVKEW,100,call,50,1,9,2
43,DNCIG,100,call,50,1,3,7
44,FVEVB,100,call,50,1,3,7
45,FVKEW,100,call,50,20,3,7
46,DNCIG,100,call,100,1,3,5
47,FVEVB,100,call,130,9,16,7
48,FVNIW,130,call,50,20,3,5
49,FVKEW,130,call,50,20,9,7
50,FVKEW,130,call,50,9,3,7
51,FVKEW,130,call,100,9,9,2
52,DNCIG,130,call,100,9,9,2
53,FVEVB,130,call,130,9,9,5
54,FVNIW,150,call,50,1,3,2
55,FVKEW,150,call,100,9,3,2
56,DJFVD,150,call,100,9,3,2
57,DJFVD,150,call,130,1,9,7
58,DJFVD,150,call,130,1,3,2
59,DNCIG,150,call,130,20,16,2
60,DJFVD,170,call,150,1,16,7
61,FVNIW,170,call,150,9,16,2
62,FVEVB,170,call,150,20,16,5
63,DJFVD,170,call,150,9,3,7
64,DJFVD,170,call,130,20,3,7
65,FVEVB,170,call,100,9,3,7
66,FVKEW,200,call,170,1,16,2
67,FVEVB,200,call,170,9,16,5
68,DNCIG,200,call,170,20,3,7
69,DNCIG,200,call,150,9,16,5
70,FVEVB,200,call,150,1,3,2
71,FVKEW,200,call,150,9,9,5
72,FVKEW,50,email,50,1,3,2
73,FVKEW,50,email,100,20,16,5
74,DJFVD,50,email,100,20,16,2
75,FVNIW,50,email,100,9,3,2
76,FVEVB,50,email,100,1,16,2
77,FVNIW,50,email,130,20,3,2
78,FVKEW,100,email,50,20,9,7
79,DNCIG,100,email,50,1,3,2
80,DNCIG,100,email,100,1,3,5
81,FVNIW,100,email,100,20,16,5
82,FVEVB,100,email,100,20,16,7
83,FVNIW,100,email,130,1,3,5
84,DJFVD,130,email,130,9,9,2
85,FVKEW,130,email,130,20,3,7
86,FVKEW,130,email,130,20,16,2
87,FVNIW,130,email,130,9,9,5
88,DJFVD,130,email,130,20,3,2
89,DNCIG,130,email,130,20,9,2
90,FVEVB,150,email,50,9,3,2
91,FVEVB,150,email,130,20,9,2
92,DNCIG,150,email,130,20,16,2
93,FVKEW,150,email,130,1,9,2
94,DJFVD,150,email,100,1,9,2
95,FVNIW,150,email,130,1,9,5
96,DJFVD,170,email,170,1,9,7
97,DNCIG,170,email,170,9,9,5
98,FVEVB,170,email,150,20,3,2
99,FVNIW,170,email,150,9,3,7
100,DNCIG,170,email,150,20,16,2
101,FVKEW,170,email,150,20,9,7
102,DNCIG,200,email,200,9,9,5
103,DJFVD,200,email,170,1,3,2
104,FVNIW,200,email,150,1,3,5
105,FVEVB,200,email,150,20,9,2
106,DNCIG,200,email,150,9,9,7
107,FVEVB,200,email,150,9,3,7
108,FVEVB,50,agent,100,20,16,7
109,FVNIW,50,agent,130,20,9,7
110,FVKEW,50,agent,130,1,16,7
111,DJFVD,50,agent,150,20,3,5
112,FVNIW,50,agent,150,9,9,7
113,DNCIG,50,agent,170,9,9,5
114,FVKEW,100,agent,130,9,16,5
115,DJFVD,100,agent,130,1,16,2
116,FVNIW,100,agent,150,9,16,2
117,FVKEW,100,agent,150,20,9,2
118,DNCIG,100,agent,150,20,16,2
119,FVNIW,100,agent,170,1,3,2
120,FVNIW,130,agent,130,20,9,5
121,DNCIG,130,agent,130,9,16,2
122,FVKEW,130,agent,150,9,9,5
123,DJFVD,130,agent,150,20,16,2
